Entry	Entry name	Protein names	Gene names
Q99755	PI51A_HUMAN	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha)	PIP5K1A
Q9UBF8	PI4KB_HUMAN	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)	PI4KB PIK4CB
P51449	RORG_HUMAN	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC NR1F3 RORG RZRG
P60903	S10AA_HUMAN	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11
P31949	S10AB_HUMAN	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]	S100A11 MLN70 S100C
Q9UBG3	CRNN_HUMAN	Cornulin (53 kDa putative calcium-binding protein) (53 kDa squamous epithelial-induced stress protein) (58 kDa heat shock protein) (Squamous epithelial heat shock protein 53) (Tumor-related protein)	CRNN C1orf10 DRC1 PDRC1 SEP53
P06702	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14
P80511	S10AC_HUMAN	Protein S100-A12 (CGRP) (Calcium-binding protein in amniotic fluid 1) (CAAF1) (Calgranulin-C) (CAGC) (Extracellular newly identified RAGE-binding protein) (EN-RAGE) (Migration inhibitory factor-related protein 6) (MRP-6) (p6) (Neutrophil S100 protein) (S100 calcium-binding protein A12) [Cleaved into: Calcitermin]	S100A12
P05109	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8
Q86SG5	S1A7A_HUMAN	Protein S100-A7A (S100 calcium-binding protein A15) (S100 calcium-binding protein A7-like 1) (S100 calcium-binding protein A7A)	S100A7A S100A15 S100A7L1
P31151	S10A7_HUMAN	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C
P06703	S10A6_HUMAN	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6)	S100A6 CACY
P33763	S10A5_HUMAN	Protein S100-A5 (Protein S-100D) (S100 calcium-binding protein A5)	S100A5 S100D
P26447	S10A4_HUMAN	Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4)	S100A4 CAPL MTS1
P33764	S10A3_HUMAN	Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3)	S100A3 S100E
P29034	S10A2_HUMAN	Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2)	S100A2 S100L
Q96FQ6	S10AG_HUMAN	Protein S100-A16 (Aging-associated gene 13 protein) (Protein S100-F) (S100 calcium-binding protein A16)	S100A16 S100F AAG13
Q9HCY8	S10AE_HUMAN	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	S100A14 S100A15
Q99584	S10AD_HUMAN	Protein S100-A13 (S100 calcium-binding protein A13)	S100A13
P23297	S10A1_HUMAN	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	S100A1 S100A
P16066	ANPRA_HUMAN	Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)	NPR1 ANPRA
Q53ET0	CRTC2_HUMAN	CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2)	CRTC2 TORC2
Q8TEY5	CR3L4_HUMAN	Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]	CREB3L4 AIBZIP CREB4 JAL
P51153	RAB13_HUMAN	Ras-related protein Rab-13 (Cell growth-inhibiting gene 4 protein)	RAB13 GIG4
P08887	IL6RA_HUMAN	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)]	IL6R
P17787	ACHB2_HUMAN	Neuronal acetylcholine receptor subunit beta-2	CHRNB2
Q9UGI6	KCNN3_HUMAN	Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3)	KCNN3 K3
Q13444	ADA15_HUMAN	Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)	ADAM15 MDC15
P49760	CLK2_HUMAN	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	CLK2
Q9P1Z3	HCN3_HUMAN	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	HCN3 KIAA1535
Q9NR48	ASH1L_HUMAN	Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H)	ASH1L KIAA1420 KMT2H
Q92963	RIT1_HUMAN	GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)	RIT1 RIBB RIT ROC1
Q9C0K0	BC11B_HUMAN	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	BCL11B CTIP2 RIT1
Q8TDU9	RL3R2_HUMAN	Relaxin-3 receptor 2 (RLN3 receptor 2) (G-protein coupled receptor 100) (G-protein coupled receptor GPCR142) (Insulin-like peptide INSL5 receptor) (Relaxin family peptide receptor 4)	RXFP4 GPCR142 GPR100 RLN3R2
P57735	RAB25_HUMAN	Ras-related protein Rab-25 (CATX-8)	RAB25 CATX8
Q6TCH4	PAQR6_HUMAN	Membrane progestin receptor delta (mPR delta) (Membrane progesterone P4 receptor delta) (Membrane progesterone receptor delta) (Progesterone and adipoQ receptor family member 6) (Progestin and adipoQ receptor family member 6)	PAQR6
Q6RSH7	VHLL_HUMAN	von Hippel-Lindau-like protein (VHL-like protein) (VLP)	VHLL VLP
Q14814	MEF2D_HUMAN	Myocyte-specific enhancer factor 2D	MEF2D
P29373	RABP2_HUMAN	Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II)	CRABP2
P04629	NTRK1_HUMAN	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	NTRK1 MTC TRK TRKA
P14616	INSRR_HUMAN	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR
Q6ZN32	ETV3L_HUMAN	ETS translocation variant 3-like protein	ETV3L
P41162	ETV3_HUMAN	ETS translocation variant 3 (ETS domain transcriptional repressor PE1) (PE-1) (Mitogenic Ets transcriptional suppressor)	ETV3 METS PE1
O43866	CD5L_HUMAN	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	CD5L API6 UNQ203/PRO229
Q8NGY0	O10X1_HUMAN	Olfactory receptor 10X1 (Olfactory receptor OR1-14)	OR10X1 OR10X1P
P02549	SPTA1_HUMAN	Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)	SPTA1 SPTA
Q9P2J2	TUTLA_HUMAN	Protein turtle homolog A (Immunoglobulin superfamily member 9A) (IgSF9A)	IGSF9 IGSF9A KIAA1355 NRT1
P78508	KCJ10_HUMAN	ATP-sensitive inward rectifier potassium channel 10 (ATP-dependent inwardly rectifying potassium channel Kir4.1) (Inward rectifier K(+) channel Kir1.2) (Potassium channel, inwardly rectifying subfamily J member 10)	KCNJ10
Q92806	KCNJ9_HUMAN	G protein-activated inward rectifier potassium channel 3 (GIRK-3) (Inward rectifier K(+) channel Kir3.3) (Potassium channel, inwardly rectifying subfamily J member 9)	KCNJ9 GIRK3
P50993	AT1A2_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2)	ATP1A2 KIAA0778
Q13733	AT1A4_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-4 (Na(+)/K(+) ATPase alpha-4 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-4)	ATP1A4 ATP1AL2
P22415	USF1_HUMAN	Upstream stimulatory factor 1 (Class B basic helix-loop-helix protein 11) (bHLHb11) (Major late transcription factor 1)	USF1 BHLHB11 USF
Q9UK80	UBP21_HUMAN	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	USP21 USP23 PP1490
O43612	OREX_HUMAN	Orexin (Hypocretin) (Hcrt) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	HCRT OX PPORX PPOX
P50336	PPOX_HUMAN	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	PPOX
Q14994	NR1I3_HUMAN	Nuclear receptor subfamily 1 group I member 3 (Constitutive activator of retinoid response) (Constitutive active response) (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67)	NR1I3 CAR
P17066	HSP76_HUMAN	Heat shock 70 kDa protein 6 (Heat shock 70 kDa protein B')	HSPA6 HSP70B'
P18850	ATF6A_HUMAN	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	ATF6
O14796	SH21B_HUMAN	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2
Q16832	DDR2_HUMAN	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10
P56937	DHB7_HUMAN	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1)	HSD17B7 17HSD7 SDR37C1 UNQ2563/PRO6243
P49798	RGS4_HUMAN	Regulator of G-protein signaling 4 (RGP4) (RGS4)	RGS4
O15539	RGS5_HUMAN	Regulator of G-protein signaling 5 (RGS5)	RGS5
P48443	RXRG_HUMAN	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3
P49189	AL9A1_HUMAN	4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABALDH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]	ALDH9A1 ALDH4 ALDH7 ALDH9
Q8N6U8	GP161_HUMAN	G-protein coupled receptor 161 (G-protein coupled receptor RE2)	GPR161
Q9UBD3	XCL2_HUMAN	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	XCL2 SCYC2
P47992	XCL1_HUMAN	Lymphotactin (ATAC) (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (SCM-1-alpha) (Small-inducible cytokine C1) (XC chemokine ligand 1)	XCL1 LTN SCYC1
P12259	FA5_HUMAN	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5
P16109	LYAM3_HUMAN	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	SELP GMRP GRMP
P49908	SEPP1_HUMAN	Selenoprotein P (SeP)	SELENOP SELP SEPP1
P14151	LYAM1_HUMAN	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SELL LNHR LYAM1
P16581	LYAM2_HUMAN	E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E)	SELE ELAM1
Q9UQ16	DYN3_HUMAN	Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)	DNM3 KIAA0820
P48023	TNFL6_HUMAN	Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	FASLG APT1LG1 CD95L FASL TNFSF6
Q5TZF3	ANR45_HUMAN	Ankyrin repeat domain-containing protein 45	ANKRD45
Q9Y2M5	KLH20_HUMAN	Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X)	KLHL20 KLEIP KLHLX
P01008	ANT3_HUMAN	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309
Q9Y2T5	GPR52_HUMAN	G-protein coupled receptor 52	GPR52
Q5EG05	CAR16_HUMAN	Caspase recruitment domain-containing protein 16 (Caspase recruitment domain-only protein 1) (CARD-only protein 1) (Caspase-1 inhibitor COP) (Pseudo interleukin-1 beta converting enzyme) (Pseudo-ICE) (Pseudo-IL1B-converting enzyme)	CARD16 COP COP1
Q8NHY2	COP1_HUMAN	E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2)	COP1 RFWD2 RNF200
Q9BXP8	PAPP2_HUMAN	Pappalysin-2 (EC 3.4.24.-) (Pregnancy-associated plasma protein A2) (PAPP-A2) (Pregnancy-associated plasma protein E1) (PAPP-E)	PAPPA2 PLAC3
Q86X27	RGPS2_HUMAN	Ras-specific guanine nucleotide-releasing factor RalGPS2 (Ral GEF with PH domain and SH3-binding motif 2) (RalA exchange factor RalGPS2)	RALGPS2
P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG
Q9NP85	PODO_HUMAN	Podocin	NPHS2
Q15878	CAC1E_HUMAN	Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)	CACNA1E CACH6 CACNL1A6
A5PLK6	RGSL_HUMAN	Regulator of G-protein signaling protein-like	RGSL1 RGSL RGSL2
O15492	RGS16_HUMAN	Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (hRGS-r) (Retinally abundant regulator of G-protein signaling)	RGS16 RGSR
P57771	RGS8_HUMAN	Regulator of G-protein signaling 8 (RGS8)	RGS8
Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2
Q9NZL6	RGL1_HUMAN	Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1)	RGL1 KIAA0959 RGL
Q99496	RING2_HUMAN	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)	RNF2 BAP1 DING HIPI3 RING1B
Q9Y6Y0	NS1BP_HUMAN	Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3) (Kelch-like protein 39)	IVNS1ABP ARA3 FLARA3 KIAA0850 KLHL39 NS1 NS1BP HSPC068
P35354	PGH2_HUMAN	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2
Q2M5E4	RGS21_HUMAN	Regulator of G-protein signaling 21 (RGS21)	RGS21
Q08116	RGS1_HUMAN	Regulator of G-protein signaling 1 (RGS1) (B-cell activation protein BL34) (Early response protein 1R20)	RGS1 1R20 BL34 IER1
O14921	RGS13_HUMAN	Regulator of G-protein signaling 13 (RGS13)	RGS13
Q9NS28	RGS18_HUMAN	Regulator of G-protein signaling 18 (RGS18)	RGS18 RGS13
P41220	RGS2_HUMAN	Regulator of G-protein signaling 2 (RGS2) (Cell growth-inhibiting gene 31 protein) (G0/G1 switch regulatory protein 8)	RGS2 G0S8 GIG31
Q6UVM3	KCNT2_HUMAN	Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1)	KCNT2 SLICK
P08603	CFAH_HUMAN	Complement factor H (H factor 1)	CFH HF HF1 HF2
Q02985	FHR3_HUMAN	Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3)	CFHR3 CFHL3 FHR3
Q03591	FHR1_HUMAN	Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (H-factor-like 1) (H36)	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2
Q92496	FHR4_HUMAN	Complement factor H-related protein 4 (FHR-4)	CFHR4 CFHL4 FHR4
P36980	FHR2_HUMAN	Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)	CFHR2 CFHL2 FHR2 HFL3
Q9BXR6	FHR5_HUMAN	Complement factor H-related protein 5 (FHR-5)	CFHR5 CFHL5 FHR5
P05160	F13B_HUMAN	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13B
Q15058	KIF14_HUMAN	Kinesin-like protein KIF14	KIF14 KIAA0042
O00155	GPR25_HUMAN	Probable G-protein coupled receptor 25	GPR25
O75037	KI21B_HUMAN	Kinesin-like protein KIF21B	KIF21B KIAA0449
Q13698	CAC1S_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3
Q9H4A4	AMPB_HUMAN	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB
P78545	ELF3_HUMAN	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	ELF3 ERT ESX JEN
O60883	G37L1_HUMAN	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2
Q96BM9	ARL8A_HUMAN	ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2)	ARL8A ARL10B GIE2
Q9UGL1	KDM5B_HUMAN	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	KDM5B JARID1B PLU1 RBBP2H1
Q53G59	KLH12_HUMAN	Kelch-like protein 12 (CUL3-interacting protein 1) (DKIR homolog) (hDKIR)	KLHL12 C3IP1
Q96A54	PAQR1_HUMAN	Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I)	ADIPOR1 PAQR1 TESBP1A CGI-45
P30542	AA1R_HUMAN	Adenosine receptor A1	ADORA1
Q5SWA1	PR15B_HUMAN	Protein phosphatase 1 regulatory subunit 15B	PPP1R15B
O00750	P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B
O15151	MDM4_HUMAN	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	MDM4 MDMX
O94856	NFASC_HUMAN	Neurofascin	NFASC KIAA0756
Q02246	CNTN2_HUMAN	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	CNTN2 AXT TAG1 TAX1
Q9H093	NUAK2_HUMAN	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK
Q8IYD2	KLD8A_HUMAN	Kelch domain-containing protein 8A (Substitute for delta-EGFR expression 1) (S-delta-E1)	KLHDC8A
Q07002	CDK18_HUMAN	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3
P28324	ELK4_HUMAN	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	ELK4 SAP1
O14966	RAB7L_HUMAN	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	RAB29 RAB7L1
Q96AH8	RAB7B_HUMAN	Ras-related protein Rab-7b	RAB7B
P47901	V1BR_HUMAN	Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)	AVPR1B AVPR3 VPR3
Q14164	IKKE_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151
