gene_id,gene_name,cat_no,uniprot,compound_name,target_class,primary_target,primary_action
ENSG00000143365,RORC,4869,P51449,SR 2211,Nuclear Receptors,Retinoic Acid-related Orphan Receptors,Inverse Agonist
ENSG00000143365,RORC,4874,P51449,SR 1078,Nuclear Receptors,Retinoic Acid-related Orphan Receptors,Agonist
ENSG00000143365,RORC,5868,P51449,SR 0987,Nuclear Receptors,Retinoic Acid-related Orphan Receptors,Agonist
ENSG00000143365,RORC,6223,P51449,XY 018,Nuclear Receptors,Retinoic Acid-related Orphan Receptors,Antagonist
ENSG00000197747,S100A10,NA,NA,NA,NA,NA,NA
ENSG00000163191,S100A11,NA,NA,NA,NA,NA,NA
ENSG00000143536,CRNN,NA,NA,NA,NA,NA,NA
ENSG00000163220,S100A9,NA,NA,NA,NA,NA,NA
ENSG00000163221,S100A12,4857,P80511,Amlexanox,Enzymes,TANK binding kinase (TBK),Inhibitor
ENSG00000143546,S100A8,NA,NA,NA,NA,NA,NA
ENSG00000184330,S100A7A,NA,NA,NA,NA,NA,NA
ENSG00000143556,S100A7,NA,NA,NA,NA,NA,NA
ENSG00000197956,S100A6,NA,NA,NA,NA,NA,NA
ENSG00000196420,S100A5,NA,NA,NA,NA,NA,NA
ENSG00000196154,S100A4,NA,NA,NA,NA,NA,NA
ENSG00000188015,S100A3,NA,NA,NA,NA,NA,NA
ENSG00000196754,S100A2,NA,NA,NA,NA,NA,NA
ENSG00000188643,S100A16,NA,NA,NA,NA,NA,NA
ENSG00000189334,S100A14,NA,NA,NA,NA,NA,NA
ENSG00000189171,S100A13,4857,Q99584,Amlexanox,Enzymes,TANK binding kinase (TBK),Inhibitor
ENSG00000160678,S100A1,NA,NA,NA,NA,NA,NA
ENSG00000169418,NPR1,NA,NA,NA,NA,NA,NA
ENSG00000160741,CRTC2,4257,Q53ET0,PP 242,Enzymes,mTOR,Inhibitor
ENSG00000143578,CREB3L4,NA,NA,NA,NA,NA,NA
ENSG00000285641,AL358472.6,NA,NA,NA,NA,NA,NA
ENSG00000143545,RAB13,NA,NA,NA,NA,NA,NA
ENSG00000160712,IL6R,NA,NA,NA,NA,NA,NA
ENSG00000160716,CHRNB2,2349,P17787,Dihydro-beta-erythroidine hydrobromide,Ion Channels,Nicotinic Receptors (Other Subtypes),Antagonist
ENSG00000160716,CHRNB2,6576,P17787,ABT 594 hydrochloride,Ion Channels,Nicotinic (a4b2) Receptors,Agonist
ENSG00000143603,KCNN3,3895,Q9UGI6,NS 309,Ion Channels,Ca2+-Activated Potassium Channels,Activator
ENSG00000143537,ADAM15,NA,NA,NA,NA,NA,NA
ENSG00000176444,CLK2,NA,NA,NA,NA,NA,NA
ENSG00000143630,HCN3,NA,NA,NA,NA,NA,NA
ENSG00000116539,ASH1L,NA,NA,NA,NA,NA,NA
ENSG00000143622,RIT1,NA,NA,NA,NA,NA,NA
ENSG00000173080,RXFP4,NA,NA,NA,NA,NA,NA
ENSG00000132698,RAB25,NA,NA,NA,NA,NA,NA
ENSG00000160781,PAQR6,NA,NA,NA,NA,NA,NA
ENSG00000189030,VHLL,NA,NA,NA,NA,NA,NA
ENSG00000116604,MEF2D,NA,NA,NA,NA,NA,NA
ENSG00000143320,CRABP2,NA,NA,NA,NA,NA,NA
ENSG00000198400,NTRK1,4559,P04629,GNF 5837,Enzyme-Linked Receptors,Trk Receptors,Inhibitor
ENSG00000198400,NTRK1,6115,P04629,PF 06273340,Enzyme-Linked Receptors,Trk Receptors,Inhibitor
ENSG00000027644,INSRR,NA,NA,NA,NA,NA,NA
ENSG00000253831,ETV3L,NA,NA,NA,NA,NA,NA
ENSG00000117036,ETV3,NA,NA,NA,NA,NA,NA
ENSG00000073754,CD5L,NA,NA,NA,NA,NA,NA
ENSG00000279111,OR10X1,NA,NA,NA,NA,NA,NA
ENSG00000163554,SPTA1,NA,NA,NA,NA,NA,NA
ENSG00000085552,IGSF9,NA,NA,NA,NA,NA,NA
ENSG00000177807,KCNJ10,6877,P78508,VU 0134992,Ion Channels,Inward rectifier Potassium Channels,Blocker
ENSG00000162728,KCNJ9,NA,NA,NA,NA,NA,NA
ENSG00000018625,ATP1A2,NA,NA,NA,NA,NA,NA
ENSG00000132681,ATP1A4,NA,NA,NA,NA,NA,NA
ENSG00000158773,USF1,NA,NA,NA,NA,NA,NA
ENSG00000143258,USP21,NA,NA,NA,NA,NA,NA
ENSG00000143224,PPOX,NA,NA,NA,NA,NA,NA
ENSG00000143257,NR1I3,0670,Q14994,PK 11195,Other Pharmacology,Translocator Protein,Ligand
ENSG00000143257,NR1I3,2373,Q14994,T 0901317,Nuclear Receptors,LXR-like Receptors,Agonist
ENSG00000143257,NR1I3,3683,Q14994,CITCO,Nuclear Receptors,Constitutive Androstane Receptor,Agonist
ENSG00000143257,NR1I3,5605,Q14994,CINPA 1,Nuclear Receptors,Constitutive Androstane Receptor,Antagonist
ENSG00000173110,HSPA6,NA,NA,NA,NA,NA,NA
ENSG00000118217,ATF6,6759,P18850,AA 147,Cell biology,Other ER stress/UPR,Other
ENSG00000198574,SH2D1B,NA,NA,NA,NA,NA,NA
ENSG00000162733,DDR2,5592,Q16832,LCB 03-0110 dihydrochloride,Enzymes,Src Kinases,Inhibitor
ENSG00000132196,HSD17B7,NA,NA,NA,NA,NA,NA
ENSG00000117152,RGS4,NA,NA,NA,NA,NA,NA
ENSG00000143248,RGS5,NA,NA,NA,NA,NA,NA
ENSG00000143171,RXRG,5086,P48443,PA 452,Nuclear Receptors,Retinoid X Receptor,Antagonist
ENSG00000143171,RXRG,5920,P48443,LG 100268,Nuclear Receptors,Retinoid X Receptor,Agonist
ENSG00000143149,ALDH9A1,NA,NA,NA,NA,NA,NA
ENSG00000143147,GPR161,NA,NA,NA,NA,NA,NA
ENSG00000143185,XCL2,NA,NA,NA,NA,NA,NA
ENSG00000143184,XCL1,NA,NA,NA,NA,NA,NA
ENSG00000198734,F5,NA,NA,NA,NA,NA,NA
ENSG00000174175,SELP,2748,P16109,KF 38789,Cell biology,Cell Adhesion Molecules,Other
ENSG00000188404,SELL,NA,NA,NA,NA,NA,NA
ENSG00000007908,SELE,NA,NA,NA,NA,NA,NA
ENSG00000197959,DNM3,NA,NA,NA,NA,NA,NA
ENSG00000117560,FASLG,NA,NA,NA,NA,NA,NA
ENSG00000285777,AL139142.2,NA,NA,NA,NA,NA,NA
ENSG00000183831,ANKRD45,NA,NA,NA,NA,NA,NA
ENSG00000076321,KLHL20,NA,NA,NA,NA,NA,NA
ENSG00000117601,SERPINC1,NA,NA,NA,NA,NA,NA
ENSG00000203737,GPR52,6784,Q9Y2T5,FTBMT,7-TM Receptors,Orphan 7-TM Receptors,Agonist
ENSG00000143207,COP1,NA,NA,NA,NA,NA,NA
ENSG00000116183,PAPPA2,NA,NA,NA,NA,NA,NA
ENSG00000116191,RALGPS2,NA,NA,NA,NA,NA,NA
ENSG00000143322,ABL2,6793,P42684,Dasatinib,Enzymes,Src Kinases,Inhibitor
ENSG00000057252,SOAT1,2227,P35610,CI 976,Enzymes,Acyl-CoA:Cholesterol Acyltransferase,Inhibitor
ENSG00000057252,SOAT1,6505,P35610,Avasimibe,Enzymes,Acyl-CoA:Cholesterol Acyltransferase,Inhibitor
ENSG00000116218,NPHS2,NA,NA,NA,NA,NA,NA
ENSG00000198216,CACNA1E,2960,Q15878,Felodipine,Ion Channels,Cav1.x Channels,Blocker
ENSG00000121446,RGSL1,NA,NA,NA,NA,NA,NA
ENSG00000143333,RGS16,NA,NA,NA,NA,NA,NA
ENSG00000135824,RGS8,NA,NA,NA,NA,NA,NA
ENSG00000135829,DHX9,NA,NA,NA,NA,NA,NA
ENSG00000143344,RGL1,NA,NA,NA,NA,NA,NA
ENSG00000121481,RNF2,5047,Q99496,PRT 4165,Enzymes,Ubiquitin E3 Ligases,Inhibitor
ENSG00000116679,IVNS1ABP,NA,NA,NA,NA,NA,NA
ENSG00000073756,PTGS2,0942,P35354,NS 398,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000073756,PTGS2,1418,P35354,Resveratrol,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000073756,PTGS2,1430,P35354,DuP 697,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000073756,PTGS2,3919,P35354,SC 236,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000073756,PTGS2,4092,P35354,Aspirin,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000073756,PTGS2,4206,P35354,Valdecoxib,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000150681,RGS18,NA,NA,NA,NA,NA,NA
ENSG00000253148,RGS21,NA,NA,NA,NA,NA,NA
ENSG00000090104,RGS1,NA,NA,NA,NA,NA,NA
ENSG00000127074,RGS13,NA,NA,NA,NA,NA,NA
ENSG00000116741,RGS2,NA,NA,NA,NA,NA,NA
ENSG00000162687,KCNT2,NA,NA,NA,NA,NA,NA
ENSG00000000971,CFH,NA,NA,NA,NA,NA,NA
ENSG00000116785,CFHR3,NA,NA,NA,NA,NA,NA
ENSG00000244414,CFHR1,NA,NA,NA,NA,NA,NA
ENSG00000134365,CFHR4,NA,NA,NA,NA,NA,NA
ENSG00000080910,CFHR2,NA,NA,NA,NA,NA,NA
ENSG00000134389,CFHR5,NA,NA,NA,NA,NA,NA
ENSG00000143278,F13B,NA,NA,NA,NA,NA,NA
ENSG00000118193,KIF14,NA,NA,NA,NA,NA,NA
ENSG00000170128,GPR25,NA,NA,NA,NA,NA,NA
ENSG00000116852,KIF21B,NA,NA,NA,NA,NA,NA
ENSG00000081248,CACNA1S,0685,Q13698,Diltiazem hydrochloride,Ion Channels,Cav1.x Channels,Blocker
ENSG00000081248,CACNA1S,2893,Q13698,CP 96345,7-TM Receptors,NK1 Receptor,Antagonist
ENSG00000081248,CACNA1S,2960,Q13698,Felodipine,Ion Channels,Cav1.x Channels,Blocker
ENSG00000176393,RNPEP,NA,NA,NA,NA,NA,NA
ENSG00000163435,ELF3,NA,NA,NA,NA,NA,NA
ENSG00000170075,GPR37L1,NA,NA,NA,NA,NA,NA
ENSG00000143862,ARL8A,NA,NA,NA,NA,NA,NA
ENSG00000117139,KDM5B,NA,NA,NA,NA,NA,NA
ENSG00000117153,KLHL12,NA,NA,NA,NA,NA,NA
ENSG00000159346,ADIPOR1,5096,Q96A54,AdipoRon hydrochloride,7-TM Receptors,Other Peptide Receptors,Other
ENSG00000163485,ADORA1,1691,P30542,NECA,7-TM Receptors,Non-selective Adenosine,Agonist
ENSG00000163485,ADORA1,1705,P30542,2-Chloro-N6-cyclopentyladenosine,7-TM Receptors,Adenosine A1 Receptors,Agonist
ENSG00000163485,ADORA1,2019,P30542,PSB 36,7-TM Receptors,Adenosine A1 Receptors,Antagonist
ENSG00000163485,ADORA1,2281,P30542,2'-MeCCPA,7-TM Receptors,Adenosine A1 Receptors,Agonist
ENSG00000163485,ADORA1,2465,P30542,SDZ WAG 994,7-TM Receptors,Adenosine A1 Receptors,Agonist
ENSG00000163485,ADORA1,3136,P30542,2-Chloroadenosine,7-TM Receptors,Non-selective Adenosine,Agonist
ENSG00000163485,ADORA1,3200,P30542,XAC,7-TM Receptors,Non-selective Adenosine,Antagonist
ENSG00000163485,ADORA1,3576,P30542,(+/-)-5'-Chloro-5'-deoxy-ENBA,7-TM Receptors,Adenosine A1 Receptors,Agonist
ENSG00000163485,ADORA1,3624,P30542,Adenosine,7-TM Receptors,Non-selective Adenosine,Agonist
ENSG00000163485,ADORA1,4167,P30542,KW 3902,7-TM Receptors,Adenosine A1 Receptors,Antagonist
ENSG00000163485,ADORA1,4220,P30542,XCC,7-TM Receptors,Non-selective Adenosine,Antagonist
ENSG00000163485,ADORA1,6137,P30542,"8-Cyclopentyl-1,3-dimethylxanthine",7-TM Receptors,Adenosine A1 Receptors,Antagonist
ENSG00000058668,ATP2B4,NA,NA,NA,NA,NA,NA
ENSG00000158615,PPP1R15B,6760,Q5SWA1,Raphin 1,Enzymes,Protein Ser/Thr Phosphatases,Inhibitor
ENSG00000133056,PIK3C2B,2930,O00750,PI 103 hydrochloride,Enzymes,PI 3-Kinase,Inhibitor
ENSG00000133056,PIK3C2B,4839,O00750,AZD 6482,Enzymes,PI 3-Kinase,Inhibitor
ENSG00000133056,PIK3C2B,5832,O00750,TGX 221,Enzymes,PI 3-Kinase,Inhibitor
ENSG00000198625,MDM4,NA,NA,NA,NA,NA,NA
ENSG00000163531,NFASC,NA,NA,NA,NA,NA,NA
ENSG00000184144,CNTN2,NA,NA,NA,NA,NA,NA
ENSG00000163545,NUAK2,NA,NA,NA,NA,NA,NA
ENSG00000162873,KLHDC8A,NA,NA,NA,NA,NA,NA
ENSG00000117266,CDK18,7158,Q07002,FMF-04-159-2,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000158711,ELK4,NA,NA,NA,NA,NA,NA
ENSG00000117280,RAB29,NA,NA,NA,NA,NA,NA
ENSG00000276600,RAB7B,NA,NA,NA,NA,NA,NA
ENSG00000198049,AVPR1B,3924,P47901,OPC 21268,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000198049,AVPR1B,5729,P47901,TASP 0390325,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000198049,AVPR1B,6195,P47901,SSR 149415,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000263528,IKBKE,4857,Q14164,Amlexanox,Enzymes,TANK binding kinase (TBK),Inhibitor
ENSG00000263528,IKBKE,5672,Q14164,GSK 319347A,Enzymes,IkB Kinase,Inhibitor
ENSG00000143479,DYRK3,NA,NA,NA,NA,NA,NA
ENSG00000162889,MAPKAPK2,3140,P49137,PHA 767491 hydrochloride,Enzymes,MK2,Inhibitor
ENSG00000136634,IL10,5185,P22301,JTE 607 dihydrochloride,Cell biology,Cytokines,Other
ENSG00000136634,IL10,6438,P22301,BRD 6989,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000142224,IL19,NA,NA,NA,NA,NA,NA
ENSG00000162891,IL20,NA,NA,NA,NA,NA,NA
ENSG00000162892,IL24,NA,NA,NA,NA,NA,NA
ENSG00000123836,PFKFB2,NA,NA,NA,NA,NA,NA
ENSG00000123843,C4BPB,NA,NA,NA,NA,NA,NA
ENSG00000123838,C4BPA,NA,NA,NA,NA,NA,NA
ENSG00000196352,CD55,NA,NA,NA,NA,NA,NA
ENSG00000117322,CR2,NA,NA,NA,NA,NA,NA
ENSG00000203710,CR1,NA,NA,NA,NA,NA,NA
ENSG00000117335,CD46,NA,NA,NA,NA,NA,NA
ENSG00000008118,CAMK1G,NA,NA,NA,NA,NA,NA
ENSG00000117594,HSD11B1,3291,P28845,PF 915275,Enzymes,11b-Hydroxysteroid Dehydrogenase,Inhibitor
ENSG00000117594,HSD11B1,3292,P28845,Metyrapone,Enzymes,Hydroxylases,Inhibitor
ENSG00000143473,KCNH1,NA,NA,NA,NA,NA,NA
ENSG00000284299,AL590132.1,NA,NA,NA,NA,NA,NA
ENSG00000283952,AC092017.2,NA,NA,NA,NA,NA,NA
ENSG00000082482,KCNK2,3757,O95069,Dofetilide,Ion Channels,Voltage-Gated Potassium Channels,Blocker
ENSG00000082482,KCNK2,6689,O95069,GI 530159,Ion Channels,Two-P Potassium Channels,Activator
ENSG00000082482,KCNK2,6886,O95069,ML 67-33,Ion Channels,Two-P Potassium Channels,Activator
ENSG00000082482,KCNK2,6888,O95069,ML 402,Ion Channels,Two-P Potassium Channels,Activator
ENSG00000196482,ESRRG,2266,P62508,DY131,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000092969,TGFB2,NA,NA,NA,NA,NA,NA
ENSG00000143353,LYPLAL1,5345,Q5VWZ2,ML 348,Enzymes,Other Hydrolases,Inhibitor
ENSG00000187554,TLR5,NA,NA,NA,NA,NA,NA
ENSG00000143502,SUSD4,NA,NA,NA,NA,NA,NA
ENSG00000143748,NVL,NA,NA,NA,NA,NA,NA
ENSG00000243709,LEFTY1,NA,NA,NA,NA,NA,NA
ENSG00000143768,LEFTY2,NA,NA,NA,NA,NA,NA
ENSG00000143799,PARP1,3255,P09874,PJ 34 hydrochloride,Enzymes,Poly(ADP-ribose) Polymerase,Inhibitor
ENSG00000143799,PARP1,3748,P09874,XAV 939,Enzymes,Tankyrase,Inhibitor
ENSG00000143799,PARP1,4514,P09874,JW 55,Enzymes,Tankyrase,Inhibitor
ENSG00000143799,PARP1,6230,P09874,Rucaparib camsylate,Enzymes,Poly(ADP-ribose) Polymerase,Inhibitor
ENSG00000143799,PARP1,6344,P09874,OUL 35,Enzymes,Poly(ADP-ribose) Polymerase,Inhibitor
ENSG00000143801,PSEN2,2634,P49810,DAPT,Cell biology,Neural Stem Cells,Other
ENSG00000143801,PSEN2,2870,P49810,BMS 299897,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000143801,PSEN2,6363,P49810,Avagacestat,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000143801,PSEN2,6559,P49810,LY 450139,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000143776,CDC42BPA,NA,NA,NA,NA,NA,NA
ENSG00000143761,ARF1,NA,NA,NA,NA,NA,NA
ENSG00000198835,GJC2,NA,NA,NA,NA,NA,NA
ENSG00000181218,H2AW,NA,NA,NA,NA,NA,NA
ENSG00000116574,RHOU,NA,NA,NA,NA,NA,NA
ENSG00000168118,RAB4A,NA,NA,NA,NA,NA,NA
ENSG00000143632,ACTA1,NA,NA,NA,NA,NA,NA
ENSG00000135776,ABCB10,NA,NA,NA,NA,NA,NA
ENSG00000135744,AGT,NA,NA,NA,NA,NA,NA
ENSG00000143674,MAP3K21,NA,NA,NA,NA,NA,NA
ENSG00000135750,KCNK1,NA,NA,NA,NA,NA,NA
ENSG00000077522,ACTN2,NA,NA,NA,NA,NA,NA
ENSG00000133019,CHRM3,2507,P20309,J 104129 fumarate,7-TM Receptors,M3 Receptors,Antagonist
ENSG00000133019,CHRM3,5902,P20309,Tiotropium bromide,7-TM Receptors,Non-selective Muscarinics,Antagonist
ENSG00000182901,RGS7,NA,NA,NA,NA,NA,NA
ENSG00000117009,KMO,3254,O15229,Ro 61-8048,Enzymes,Kynurenine 3-monooxygenase,Inhibitor
ENSG00000117020,AKT3,2151,Q9Y243,API-2,Enzymes,Akt (Protein Kinase B),Inhibitor
ENSG00000117020,AKT3,2558,Q9Y243,10-DEBC hydrochloride,Enzymes,Akt (Protein Kinase B),Inhibitor
ENSG00000117020,AKT3,4144,Q9Y243,GSK 690693,Enzymes,Akt (Protein Kinase B),Inhibitor
ENSG00000203666,EFCAB2,NA,NA,NA,NA,NA,NA
ENSG00000162849,KIF26B,NA,NA,NA,NA,NA,NA
ENSG00000162711,NLRP3,6774,Q96P20,16673-34-0 NLRP3i,Cell biology,Inflammasomes,Inhibitor
ENSG00000261456,TUBB8,NA,NA,NA,NA,NA,NA
ENSG00000178462,TUBAL3,NA,NA,NA,NA,NA,NA
ENSG00000178372,CALML5,NA,NA,NA,NA,NA,NA
ENSG00000178363,CALML3,NA,NA,NA,NA,NA,NA
ENSG00000170525,PFKFB3,5675,Q16875,AZ PFKFB3 26,Enzymes,PFKFB3,Inhibitor
ENSG00000170525,PFKFB3,5742,Q16875,AZ PFKFB3 67,Enzymes,PFKFB3,Inhibitor
ENSG00000065675,PRKCQ,NA,NA,NA,NA,NA,NA
ENSG00000165609,NUDT5,6534,Q9UKK9,TH 5427 hydrochloride,Enzymes,Other Hydrolases,Inhibitor
ENSG00000183049,CAMK1D,NA,NA,NA,NA,NA,NA
ENSG00000123240,OPTN,6755,Q96CV9,Darapladib,Enzymes,Phospholipases,Inhibitor
ENSG00000187522,HSPA14,NA,NA,NA,NA,NA,NA
ENSG00000152455,SUV39H2,NA,NA,NA,NA,NA,NA
ENSG00000077943,ITGA8,NA,NA,NA,NA,NA,NA
ENSG00000107611,CUBN,NA,NA,NA,NA,NA,NA
ENSG00000107614,TRDMT1,NA,NA,NA,NA,NA,NA
ENSG00000165997,ARL5B,NA,NA,NA,NA,NA,NA
ENSG00000078403,MLLT10,NA,NA,NA,NA,NA,NA
ENSG00000269897,COMMD3-BMI1,NA,NA,NA,NA,NA,NA
ENSG00000168283,BMI1,5047,P35226,PRT 4165,Enzymes,Ubiquitin E3 Ligases,Inhibitor
ENSG00000150867,PIP4K2A,NA,NA,NA,NA,NA,NA
ENSG00000165309,ARMC3,NA,NA,NA,NA,NA,NA
ENSG00000099246,RAB18,NA,NA,NA,NA,NA,NA
ENSG00000169126,ARMC4,NA,NA,NA,NA,NA,NA
ENSG00000107968,MAP3K8,5240,P41279,TC-S 7006,Enzymes,Other Kinases,Inhibitor
ENSG00000170759,KIF5B,NA,NA,NA,NA,NA,NA
ENSG00000150093,ITGB1,4724,P05556,BTT 3033,Enzyme-Linked Receptors,Integrins,Inhibitor
ENSG00000150093,ITGB1,6047,P05556,BOP,Enzyme-Linked Receptors,Integrins,Inhibitor
ENSG00000150093,ITGB1,6908,P05556,TR 14035,Enzyme-Linked Receptors,Integrins,Antagonist
ENSG00000099250,NRP1,NA,NA,NA,NA,NA,NA
ENSG00000095794,CREM,NA,NA,NA,NA,NA,NA
ENSG00000177291,GJD4,NA,NA,NA,NA,NA,NA
ENSG00000177283,FZD8,NA,NA,NA,NA,NA,NA
ENSG00000165731,RET,3037,P07949,SU 5416,Enzyme-Linked Receptors,VEGFR,Inhibitor
ENSG00000165731,RET,3768,P07949,Sunitinib malate,Enzyme-Linked Receptors,VEGFR,Inhibitor
ENSG00000165731,RET,5391,P07949,SPP 86,Enzyme-Linked Receptors,Other RTKs,Inhibitor
ENSG00000198915,RASGEF1A,NA,NA,NA,NA,NA,NA
ENSG00000012779,ALOX5,2850,P09917,PD 146176,Enzymes,Lipoxygenase,Inhibitor
ENSG00000012779,ALOX5,3308,P09917,Zileuton,Enzymes,Lipoxygenase,Inhibitor
ENSG00000188234,AGAP4,NA,NA,NA,NA,NA,NA
ENSG00000204174,NPY4R,6411,P50391,tBPC,7-TM Receptors,NPY Receptors,Modulator
ENSG00000266524,GDF10,NA,NA,NA,NA,NA,NA
ENSG00000263761,GDF2,NA,NA,NA,NA,NA,NA
ENSG00000204172,AGAP9,NA,NA,NA,NA,NA,NA
ENSG00000264717,NPY4R2,NA,NA,NA,NA,NA,NA
ENSG00000107643,MAPK8,3607,P45983,SU 3327,Enzymes,JNK/c-jun,Inhibitor
ENSG00000107643,MAPK8,6258,P45983,CC 401 dihydrochloride,Enzymes,JNK/c-jun,Inhibitor
ENSG00000225830,ERCC6,NA,NA,NA,NA,NA,NA
ENSG00000070748,CHAT,NA,NA,NA,NA,NA,NA
ENSG00000187714,SLC18A3,0653,Q16572,(+/-)-Vesamicol hydrochloride,Transporters,Acetylcholine Transporters,Inhibitor
ENSG00000204149,AGAP6,NA,NA,NA,NA,NA,NA
ENSG00000185532,PRKG1,0542,Q13976,H-7 dihydrochloride,Enzymes,Broad Spectrum Protein Kinase Inhibitors,Inhibitor
ENSG00000185532,PRKG1,4144,Q13976,GSK 690693,Enzymes,Akt (Protein Kinase B),Inhibitor
ENSG00000165449,SLC16A9,NA,NA,NA,NA,NA,NA
ENSG00000170312,CDK1,1332,P06493,Roscovitine,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,1580,P06493,Purvalanol A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,1581,P06493,Purvalanol B,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,2072,P06493,Aminopurvalanol A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,3605,P06493,(R)-CR8,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,3968,P06493,AZD 5438,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,4181,P06493,Ro 3306,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000170312,CDK1,5654,P06493,BMS 265246,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000072422,RHOBTB1,NA,NA,NA,NA,NA,NA
ENSG00000198739,LRRTM3,NA,NA,NA,NA,NA,NA
ENSG00000096717,SIRT1,1418,Q96EB6,Resveratrol,Enzymes,Cyclooxygenase,Inhibitor
ENSG00000148634,HERC4,NA,NA,NA,NA,NA,NA
ENSG00000179774,ATOH7,NA,NA,NA,NA,NA,NA
ENSG00000156510,HKDC1,NA,NA,NA,NA,NA,NA
ENSG00000156515,HK1,1646,P19367,Lonidamine,Enzymes,Hexokinases,Inhibitor
ENSG00000075073,TACR2,NA,NA,NA,NA,NA,NA
ENSG00000122859,NEUROG3,NA,NA,NA,NA,NA,NA
ENSG00000099284,MACROH2A2,NA,NA,NA,NA,NA,NA
ENSG00000079332,SAR1A,NA,NA,NA,NA,NA,NA
ENSG00000148734,NPFFR1,NA,NA,NA,NA,NA,NA
ENSG00000156574,NODAL,NA,NA,NA,NA,NA,NA
ENSG00000180644,PRF1,NA,NA,NA,NA,NA,NA
ENSG00000156026,MCU,1244,Q8NE86,KB-R7943 mesylate,Transporters,Na+/Ca2+ Exchanger,Inhibitor
ENSG00000156026,MCU,2184,Q8NE86,SN-6,Transporters,Na+/Ca2+ Exchanger,Inhibitor
ENSG00000107758,PPP3CB,NA,NA,NA,NA,NA,NA
ENSG00000172650,AGAP5,NA,NA,NA,NA,NA,NA
ENSG00000148660,CAMK2G,2457,Q13555,Arcyriaflavin A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000148660,CAMK2G,3063,Q13555,1-Naphthyl PP1,Enzymes,Src Kinases,Inhibitor
